Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,145.9600067138672,146.97000122070312,144.8300018310547,146.9600067138672,137.03720092773438,1050200
2018-01-03,146.86000061035156,147.5399932861328,145.88999938964844,146.97000122070312,137.0465545654297,1172500
2018-01-04,147.72999572753906,148.58999633789062,146.91000366210938,147.3800048828125,137.4288330078125,1545100
2018-01-05,148.44000244140625,151.85000610351562,148.44000244140625,150.27000427246094,140.1237335205078,1573100
2018-01-08,150.0,152.83999633789062,149.99000549316406,152.57000732421875,142.26841735839844,1374100
2018-01-09,152.97000122070312,154.61000061035156,152.72000122070312,153.60000610351562,143.2288818359375,1304900
2018-01-10,153.16000366210938,154.10000610351562,151.41000366210938,151.61000061035156,141.37322998046875,1123200
2018-01-11,152.08999633789062,154.63999938964844,151.64999389648438,154.02999877929688,143.62985229492188,1781500
2018-01-12,155.27999877929688,156.0800018310547,154.22999572753906,154.33999633789062,143.91893005371094,1850500
2018-01-16,154.8800048828125,157.14999389648438,152.9499969482422,153.0,142.66940307617188,2492300
2018-01-17,152.77000427246094,154.33999633789062,151.7899932861328,154.0500030517578,143.64852905273438,2084900
2018-01-18,154.3000030517578,154.7100067138672,152.89999389648438,153.41000366210938,143.05169677734375,1757000
2018-01-19,153.66000366210938,153.85000610351562,151.33999633789062,151.39999389648438,141.1774139404297,3040900
2018-01-22,151.44000244140625,152.00999450683594,149.82000732421875,151.47000122070312,141.24269104003906,2403700
2018-01-23,151.1300048828125,152.27000427246094,149.0399932861328,151.66000366210938,141.4198455810547,2632500
2018-01-24,150.75,152.0,147.1699981689453,149.94000244140625,139.8159942626953,2928000
2018-01-25,149.6999969482422,151.33999633789062,147.80999755859375,148.22999572753906,138.22146606445312,1649700
2018-01-26,148.7899932861328,151.3699951171875,148.42999267578125,150.97000122070312,140.77645874023438,2148600
2018-01-29,150.97000122070312,152.39999389648438,150.66000366210938,151.38999938964844,141.16807556152344,1566400
2018-01-30,150.6699981689453,151.41000366210938,149.6999969482422,150.0500030517578,139.91859436035156,1471600
2018-01-31,150.27000427246094,151.6699981689453,149.74000549316406,150.8800048828125,140.69253540039062,1690100
2018-02-01,149.27999877929688,150.35000610351562,147.89999389648438,148.47000122070312,139.1090850830078,1427000
2018-02-02,147.14999389648438,147.85000610351562,144.61000061035156,145.02999877929688,135.88597106933594,1774600
2018-02-05,144.74000549316406,146.72999572753906,138.17999267578125,138.61000061035156,129.87074279785156,2508900
2018-02-06,136.99000549316406,143.4499969482422,134.5500030517578,143.0500030517578,134.03077697753906,2455000
2018-02-07,142.08999633789062,144.4499969482422,141.3699951171875,142.67999267578125,133.6841278076172,1464500
2018-02-08,142.6199951171875,143.27000427246094,136.8699951171875,136.88999938964844,128.25918579101562,2657200
2018-02-09,138.05999755859375,139.49000549316406,131.80999755859375,138.22000122070312,129.50535583496094,2382500
2018-02-12,139.25,140.92999267578125,137.47000122070312,139.91000366210938,131.08877563476562,1762700
